theta1_i,theta2_i,theta3_i,theta4_i,theta5_i,x_i,y_i,z_i,r11_i,r12_i,r13_i,r21_i,r22_i,r23_i,r31_i,r32_i,r33_i,x_o,y_o,z_o,r11_o,r12_o,r13_o,r21_o,r22_o,r23_o,r31_o,r32_o,r33_o
-3.000450824150056,2.6899308991179103,1.6775659424846916,0.9164830994370128,-1.6870889026047942,4.996324325373929,0.7099106755460631,-2.378182232405403,0.88887064679215,-0.1799833748639167,-0.42132524021698414,0.2192876700957711,-0.6403005179047573,0.7361577035628083,-0.40227091743658633,-0.7467404043866209,-0.5296762005614684,-3.999688106648986,2.6450553266786834,-5.552925446787565,-0.385521093473257,-0.7484048502715646,-0.5396884903137932,-0.4075722637403944,-0.38662325384132734,0.8272891329025631,-0.8278033198270677,0.5388994708469675,-0.15597763943637538
0.10721250942984151,0.06221940949402782,-2.0619085524412686,1.62996387598261,2.3320307510069824,-8.423827823603546,-0.9066160910523331,15.822008419758724,0.7114509465393559,0.4190804882325672,0.5641002526599397,-0.6160151860981138,-0.014370903041815541,0.7876031790453039,0.33817575484466755,-0.907835349349493,0.24793575237694832,10.255289096526297,7.363258869115428,8.019417856183825,0.0797844223903016,0.3033653855331803,0.9495282453956547,0.3540266386153885,-0.8990870396232427,0.257502688009665,0.9318259414153133,0.31561358976099024,-0.17913256784751988
-1.3079405428249762,0.49719080488583245,1.5225477845523967,-3.0235243562843213,2.4215821796494987,3.580234853546207,-13.30537942900054,14.44913042817183,-0.15303489901941333,-0.9722131069457595,-0.1771496383428177,0.9095466209023196,-0.20866214226540636,0.3594232251683013,-0.38640039348749383,-0.10612155797991503,0.9162057360902222,1.391935841619649,-2.364566301741197,29.344548529317144,-0.7388495708655984,-0.45275344079298263,0.4991148499912984,-0.42046054819144446,0.8885420583707976,0.183591769752177,-0.5266063416312713,-0.07421140314198016,-0.8468638784346794
-1.9284225241220734,-1.357947124985846,-1.333767176330883,2.588285560262989,2.1499269632201994,4.943740342916503,13.22934057118443,3.1074564913575315,-0.2500319781812385,-0.9626121424471428,0.10422031040108373,0.15253128498880775,-0.14545507914466524,-0.9775362024245863,0.9561475916334462,-0.22851845256858525,0.1831968882083413,2.2768371333550617,-3.3046098701103985,1.8739092099575991,0.12337079070018032,0.9294936891582021,0.3475933397191144,-0.9736502266511636,0.0456797748384161,0.22342469494854295,0.191793858463065,-0.3659984152776989,0.9106372910605313
-0.6098883214532949,2.990373189414262,-1.2826211165475447,-0.47557349286328465,1.304815413716315,9.355209027633613,-6.5369770350133765,-1.2511611209303406,-0.8785664601400534,0.4579756657023763,-0.13557014694039896,0.4670830847359634,0.7645525134517067,-0.44417659340426147,-0.09977157446143116,-0.45356117977527904,-0.8856228820047188,1.8677074424195836,6.497225565989248,27.893670928292664,0.012946089880781043,-0.7569246013333704,-0.6533739715148722,0.05656698813346694,0.6529366948001938,-0.7552971921283083,0.9983148674693304,-0.027181252357403308,0.05126992207889735
-2.4532003657134878,1.9695910973163402,0.9503454282481414,-1.7154157701227948,-0.4514349705261802,-8.814479820747742,-7.251115752408527,-3.6384266486076067,-0.7374503271785983,0.6539537056780055,0.16885368155353592,0.5463502923958906,0.7245800982830244,-0.4201012249102442,-0.3970747699654349,-0.21755052746929254,-0.8916296288564717,-9.42579605888448,13.381864167182544,20.85562574409432,-0.40914362480153177,-0.7654513751667115,-0.49667462844366617,0.2752465434349053,-0.6224966327563585,0.7326235612742278,-0.8699659962385887,0.16304028478380975,0.4653783739348166
0.9676955698999103,-2.9322355764238206,-2.2317478149309298,-2.2096096956804776,2.4436801048827315,3.9245706277872827,5.698531899829894,4.582359271579062,-0.7214573525784732,0.6897693064259379,-0.06097206182458759,0.036879569893936995,-0.0496518060463768,-0.9980854650182874,-0.691476091947436,-0.7223247206547855,0.010383265193931,-5.016509858327024,4.793668723454467,13.179615322435083,0.6650667670898842,-0.6773815267047458,0.31438903064794976,-0.6128136195871554,-0.7356315447152634,-0.28862726494273677,0.4267852656326117,-0.000705477840405838,-0.9043527184345264
2.2813127338070665,-2.1814186885287254,-0.36924917284734216,1.821250380520068,0.566480244882801,8.977363234288132,-10.43361420376875,-4.0380327218791,-0.9279416820330169,-0.3368541363286284,-0.15954161082309892,-0.17488675095595516,0.7714938043306788,-0.6117286442692104,0.3291486884157448,-0.5397467931518168,-0.7748125839172495,-7.056586052395109,-0.2930949873802405,22.084151808021723,0.4027264538454035,0.5406153661537632,-0.7386111488811543,-0.09045366681190913,0.8264988650572108,0.5556237577888677,0.9108400175296352,-0.1569542988821108,0.38175359923521196
1.4600702577752216,-2.085316895607974,2.9599896480211525,-0.230642741585541,1.145000222618517,-0.1140304949702386,-1.0256310915562352,11.491304536215825,0.04511853925609824,-0.9513596115635577,0.30476090120130656,-0.448700834532792,0.2532675739223484,0.8570432294167333,-0.8925423679047239,-0.17541500929260412,-0.4154487886730491,18.616083522822294,6.062208004802044,10.667696545652888,0.976196037567038,-0.19603580297608175,-0.09279687597078433,0.10703914810429617,0.06332926401919578,0.9922358717018315,-0.18863699799223058,-0.9785496248378565,0.08280528194607713
0.1908708257641143,2.447950540299889,-0.8279361336805442,-1.4456703192168505,2.878618250884527,16.083815126796722,3.107763395833083,1.8187922459500125,-0.4308622844674932,-0.07160335142352958,-0.899572482843029,0.8925402378383958,0.11327270044317263,-0.4365102738466658,0.13315260291422343,-0.9909804515726989,0.015103937828836003,-8.576174447189013,1.5676882712333413,14.148011154785548,-0.8093834782736475,-0.5806476467511548,-0.0880153135539409,-0.5707510598302735,0.813025388954143,-0.11503453663393534,0.13835321752771768,-0.04287221989016631,-0.9894545770076651
2.460905010781585,-0.6192639686505914,1.4710554251732235,-1.8518261049269467,2.8535884024802103,-1.3368797487406807,1.0826043159769858,24.729420976367187,-0.5497516089186503,-0.31723186851184804,0.7727464720668977,-0.7401817059402995,0.6137733791557171,-0.2746147869854792,-0.3871746513947721,-0.7229427229319441,-0.5722321283160209,-0.44654854865136706,-4.330949030845172,5.80624730851931,0.8537020749141914,0.2500794962183419,0.4567855217258802,-0.004439818393483253,-0.8736217355248707,0.486585399730762,0.5207427918846665,-0.41742701013433803,-0.744702380760576
3.107956386596289,-0.5598448341818365,1.4427694141762473,-0.008858984740855558,-0.4490293315661411,-2.4140762459557275,0.08123115039532633,24.822318578318523,-0.9065309914213661,-0.03924986923748139,-0.420310610569654,0.038489019438312316,-0.9992059860690614,0.010295279813195899,-0.4203809664759716,-0.006844353044327471,0.9073218821653826,-6.803086630123772,0.7381567974153362,7.796891969007527,0.8619883004319223,-0.43638406072502417,0.2579634110947216,-0.4857932071086966,-0.8565021020710352,0.1743820778490294,0.14484864461061692,-0.2756321837032761,-0.9502872036713063
-2.944183422109157,2.6773705221073865,-1.7932411153205645,1.346741157356857,0.9459547309900183,-11.973747152117229,-2.394919679564787,7.397929174084791,0.6461237186518138,0.6496888074535538,-0.40053538378666464,-0.45240996036443665,-0.09663900291370352,-0.8865585885201801,-0.6146945322341827,0.7540327291208415,0.23148493569987477,1.3735280799561354,1.5500030316539328,9.914517652399292,-0.7428274522320718,-0.6694553597370769,0.006074333684415204,-0.6694508682495522,0.7426725395800066,-0.01652373909573161,0.006550664876873602,-0.016340754972899062,-0.9998450222492415
-0.6648638334256503,-1.0502260981338818,-2.8914470230759117,-1.9047387387950734,0.13695165665483877,-1.1814735593628676,0.926190221834835,8.007259292484994,-0.47647265642045367,-0.7201943284862373,0.5042756556684984,-0.8156926335913102,0.14810038850663504,-0.5592064041380933,0.3280538601944948,-0.6777804984952293,-0.6580229940291216,-5.806380130198664,19.091441134903818,11.335704159208394,-0.16649695841811507,-0.648984958951387,-0.7423592700925763,-0.8731623015909153,-0.25274108743524143,0.4167847619605438,-0.458111730823357,0.7175935240628346,-0.5245885781306241
